facet_id,facet_name,category,polarity,definition,scale_1,scale_2,scale_3,scale_4,scale_5
F0011,Self-improvement,behavioral,positive,"A measurable trait/behavior observed in how a person speaks about their efforts to improve themselves, including goals, strategies, and self-reflection.",Self-improvement is not discussed or mentioned at all. The speaker shows no interest or awareness of personal development topics.,The speaker mentions very basic self-improvement ideas occasionally but with little enthusiasm or depth. They do not seem to be actively engaged in improving themselves.,"Self-improvement is discussed moderately, often mentioning specific goals and strategies. The speaker seems somewhat interested but lacks a strong commitment or consistent effort.","The speaker frequently discusses self-improvement with enthusiasm and detail. They have clear, well-defined goals and actively seek out resources to achieve them.",Self-improvement is the dominant topic in conversations. The speaker has highly developed strategies for improvement and consistently seeks out new ways to enhance themselves.
F0012,Statistical Reasoning,cognitive,neutral,"Measurable trait/behavior that assesses a person's ability to understand and apply statistical concepts, data analysis methods, and probabilistic reasoning in conversations.",absent / not present - The individual shows no understanding or application of statistical concepts in their speech. They do not mention statistics or probability in any context.,slight / faint trace - The individual mentions basic statistical terms like 'average' or 'percentage' but does not apply these concepts to analyze data or make probabilistic claims.,"moderate / clearly present - The individual uses statistical terminology appropriately and can explain the implications of different statistical methods, such as mean vs. median, in a conversation context.","strong / prominent - The individual frequently applies statistical reasoning to interpret data sets, make predictions based on probabilities, and discuss statistical studies or experiments with peers.",very strong / dominant - The individual is an expert in statistical analysis and often uses complex statistical models and theories to support their arguments or conclusions in conversations.
F0013,Assertiveness and control in relationships,behavioral,positive,"Measurable trait/behavior observed in how a person speaks about assertiveness and control within their relationships, including directness, boundary-setting, and conflict resolution.",Assertiveness is absent or not present. The individual does not express clear boundaries or assert themselves in relationship dynamics.,Slight trace of assertiveness. The individual occasionally expresses their needs but may avoid direct confrontation.,"Moderate presence. The individual consistently sets boundaries and communicates their needs clearly, though they might still struggle with conflict resolution.","Strong presence. The individual is highly assertive in setting boundaries and resolving conflicts effectively, often seen as overly controlling by others.","Very strong presence. The individual is extremely assertive and controlling, which can lead to relationship strain or dysfunction."
F0014,Cunningness,behavioral,negative,"Cunningness refers to a person's tendency towards deceit, manipulative strategies, and cunning behavior in conversations.",A slight trace of deceptive language or subtle manipulation is present. The individual may hint at something without directly stating it outright.,The presence of deceptive elements is more pronounced but still faintly noticeable. The person might use euphemisms or indirect references to avoid direct confrontation.,"Cunningness is clearly evident, with the individual often employing subtle lies or misleading statements in conversations. They may change topics abruptly to divert attention from uncomfortable subjects.","The level of cunningness is very strong and prominent. The person frequently uses deceptive tactics such as false promises, half-truths, or strategic ambiguity to achieve their goals.","Cunningness is dominant in the individual's communication style. They are adept at using deceitful language and manipulative strategies extensively, often leaving others confused or misled."
F0015,Adventure-Seeking Behavior,behavioral,positive,"Measurable trait/behavior indicating a person's inclination and tendency towards seeking out novel, complex, and uncertain experiences.","absent / not present: Avoids all forms of adventure-seeking behavior, prefers stability over novelty.","slight / faint trace: Rarely engages in adventurous activities, preferring familiar environments and predictable situations.",moderate / clearly present: Occasionally seeks out new experiences but prefers known routines. Shows interest in trying something different from time to time.,"strong / prominent: Prefers adventurous activities over more conventional ones, showing enthusiasm for unpredictable situations and novel experiences.",very strong / dominant: Engages in spontaneous exploration of uncharted territories with excitement and thrill. Seeks out new challenges and adventures without hesitation.
F0016,Compassion Fatigue,safety,negative,Measurable trait/behavior indicating a state of emotional and psychological exhaustion resulting from prolonged exposure to acts of compassion or witnessing suffering.,Compassion Fatigue is not present. The individual shows no signs of emotional or psychological distress related to acts of compassion or witnessing suffering.,Slight Compassion Fatigue is faintly observed. The individual occasionally feels a mild sense of weariness after engaging in compassionate activities but can still maintain social interactions and responsibilities.,"Moderate Compassion Fatigue is clearly present. The individual often experiences significant emotional exhaustion, finds it difficult to engage in further acts of compassion without feeling overwhelmed, and may need breaks or support from others.","Strong Compassion Fatigue is prominent. The individual frequently feels emotionally drained after engaging in compassionate activities, struggles with maintaining social connections, and requires substantial time off for recovery.","Very Strong Compassion Fatigue is dominant. The individual experiences chronic emotional exhaustion, finds it difficult to engage in any form of compassion without feeling severely overwhelmed, and may need professional intervention to manage their condition."
F0017,Moroseness,emotion,negative,"Moroseness refers to a persistent state of sadness and lack of joy, characterized by a negative emotional tone in speech.",A person with a score of 1 on the Moroseness facet is not expressing any signs of sadness or melancholy. Their speech remains neutral and lacks an emotional coloring.,"At a score of 2, a person shows slight traces of moroseness in their speech. They might mention feeling down but do not express it overtly or frequently.","A score of 3 indicates that the person is clearly expressing moroseness. Their conversations often include references to sadness and feelings of melancholy, though these are not overly prominent.","At a score of 4, the individual's speech is strongly marked by moroseness. They frequently express deep sadness, hopelessness, or despair in their interactions with others.","A score of 5 signifies that moroseness dominates their communication. Their conversations are heavily weighted towards expressing feelings of sadness and a lack of joy, often to the point where it interferes with social functioning."
F0018,Specialist,behavioral,positive,"A measurable trait/behavior observed in how a person speaks in a conversation, indicating tendencies towards expertise and specialization in a particular field or area of knowledge.",absent / not present - The individual shows no signs of having specialized knowledge or expertise in any specific field. They speak generally and do not exhibit any clear domain-specific language or insights.,slight / faint trace - The individual mentions a few general facts related to their area of interest but does so without depth or specificity. Their conversation is somewhat knowledgeable but lacks the nuanced understanding typical of specialists.,"moderate / clearly present - The individual frequently references specific details, terminology, and concepts from their specialized field. They provide insights that are not common knowledge and show a clear understanding of complex issues within their area of expertise.","strong / prominent - The conversation is dominated by the specialist's voice. They use highly technical language, make references to specific studies or theories, and offer solutions or advice based on their extensive experience in their field.","very strong / dominant - The individual speaks almost exclusively about their specialized area, often interrupting others who do not share the same level of expertise. Their insights are highly valued and they frequently correct misconceptions with detailed explanations."
F0019,Aloofness,behavioral,negative,A measure of a person's tendency to maintain emotional distance or detachment in social interactions.,Absent / Not present - The individual shows no signs of aloofness. They engage openly and interact naturally with others.,"Slight / Faint trace - The individual occasionally displays a slight sense of detachment, but it is not noticeable in most interactions.","Moderate / Clearly present - The individual often maintains emotional distance, showing indifference or disinterest in social cues and conversations.","Strong / Prominent - The individual frequently exhibits aloofness, avoiding eye contact, speaking minimally, and showing little interest in others' feelings or experiences.","Very strong / Dominant - The individual consistently displays a high level of aloofness, often appearing distant, unresponsive, and emotionally detached from social interactions."
F0020,Genuine,emotion,positive,"A measurable trait/behavior that reflects the genuineness and authenticity of a person's expressions in conversation, indicating sincerity and honesty.",The speaker shows no signs of genuine emotion or authenticity. Their words are flat and unengaged.,"The speaker occasionally hints at underlying emotions but does not fully convey genuineness. There is a slight attempt to appear sincere, though it feels forced or insincere.","Genuine emotion starts to emerge in the conversation. The speaker's words and tone suggest an authentic emotional state, even if they are not entirely convincing.","The speaker consistently displays genuine emotions throughout the conversation. Their expressions align with their stated feelings, creating a strong impression of authenticity.",The speaker is overwhelmingly and consistently genuine in their expressions. They convey deep emotional authenticity that resonates strongly with others.
F0021,Determinedness,behavioral,positive,A measurable trait/behavior that reflects a person's level of determination and persistence in their actions and goals.,absent / not present - The individual shows no signs of persistent effort or commitment towards any goal. They are easily swayed by distractions or setbacks.,"slight / faint trace - The individual occasionally demonstrates a mild level of persistence, but it is inconsistent and often overridden by other factors such as fatigue or external influences.",moderate / clearly present - The individual consistently shows a moderate level of determination. They are able to maintain focus on their goals despite minor obstacles and can persist through short periods of difficulty.,"strong / prominent - The individual exhibits a strong, consistent level of determined behavior. They show remarkable persistence in the face of significant challenges and often achieve their goals with minimal external support or encouragement.","very strong / dominant - The individual is characterized by an exceptionally high level of determination. They are almost unyielding in their pursuit of their goals, showing a near-unbreakable resolve that can lead to exceptional achievements despite major setbacks."
F0022,HonestyHumility,personality,positive,"A measurable trait/behavior that reflects a person's level of honesty and humility in their speech during conversations, indicating their willingness to be truthful and respectful.",absent / not present - The individual shows no signs of being honest or humble in their speech. They may frequently lie or show a lack of respect for others.,"slight / faint trace - The individual occasionally demonstrates honesty and humility, but it is inconsistent and minimal. They might say something truthful once in a while, but not consistently.","moderate / clearly present - The individual often shows honesty and humility in their speech. They are generally truthful and respectful to others, though there may be occasional lapses.","strong / prominent - The individual is highly honest and humble in their speech. They consistently tell the truth and show respect for others, even in challenging situations.","very strong / dominant - The individual is exceptionally honest and humble in all aspects of their speech. They are always truthful and respectful, setting a high standard for themselves and others."
F0023,Relationship Building Themes,linguistic,positive,"The measurable trait/behavior observed in how a person speaks about and interacts with others, focusing on themes that facilitate or hinder relationship building.","Relationship Building Themes are not present. The individual does not engage in conversations centered around themes of connection, mutual understanding, or interpersonal dynamics.",Slight presence. The individual mentions basic social norms and etiquette but does so without depth or enthusiasm.,"Moderate presence. The individual discusses relationship-building themes such as empathy, active listening, and communication skills in a somewhat engaged manner.","Strong presence. The individual frequently references themes like mutual respect, emotional intelligence, and effective conflict resolution with significant enthusiasm and depth.","Very strong presence. The individual consistently emphasizes relationship-building themes such as trust, vulnerability, and shared values to an overwhelming degree, often at the expense of other conversation topics."
F0024,Pure Challenge,behavioral,positive,"A measurable trait/behavior that reflects a person's tendency to engage in pure challenges, defined as novel and difficult tasks pursued for their own sake rather than external rewards.",Absent: The individual shows no inclination towards engaging in pure challenges. They avoid or dismiss such activities.,"Slight: There is a very faint trace of interest, but the person rarely engages in pure challenges and often finds them uninteresting or difficult to pursue.","Moderate: The individual occasionally considers and attempts pure challenges, showing some engagement but not frequently. They find such activities somewhat challenging but still manageable.",Strong: Pure challenges are a regular part of the person's life. They actively seek out novel and difficult tasks for their own sake and often enjoy the process even if it is challenging.,"Very Strong: The individual frequently engages in pure challenges, viewing them as essential to their personal growth and satisfaction. They find such activities deeply rewarding and engaging."
F0025,Numerical Reasoning Subcomponents,cognitive,neutral,Measurable trait/behavior that assesses an individual's proficiency in various numerical reasoning tasks and subcomponents.,absent / not present - The individual shows no signs of engaging with numerical reasoning tasks or demonstrating any understanding of basic numerical concepts.,"slight / faint trace - The individual occasionally attempts to engage in simple numerical tasks but often struggles and makes errors, showing a minimal level of engagement.","moderate / clearly present - The individual consistently demonstrates proficiency in basic numerical reasoning tasks such as arithmetic operations, understanding fractions, and solving simple word problems.","strong / prominent - The individual excels at complex numerical reasoning tasks including algebraic equations, statistical analysis, and interpreting graphs and charts. They demonstrate a deep understanding of mathematical concepts and can apply them in various contexts.","very strong / dominant - The individual is highly skilled in advanced numerical reasoning tasks such as predictive modeling, econometrics, and complex algorithm development. Their proficiency extends to innovative problem-solving using numerical data in non-traditional fields."
F0026,Openness,personality,positive,"Measures a person's tendency towards creativity, intellectualism, and openness to new experiences and ideas.","(absent / not present): Demonstrates little interest in novel experiences or intellectual pursuits, preferring routine and familiarity.",(slight / faint trace): Rarely seeks out new experiences or shows curiosity about abstract concepts; tends to stick with familiar routines and ideas.,"(moderate / clearly present): Shows some interest in new ideas or experiences, though it's not a primary focus of their behavior.","(strong / prominent): Occasionally shows curiosity towards novel topics or experiences, but not consistently.","(very strong / dominant): Displays frequent innovative thinking, seeks out diverse cultural experiences, and is highly curious about abstract concepts."
F0027,SelfEsteem,emotion,positive,"Self-esteem refers to an individual's overall evaluation and acceptance of their worth, encompassing beliefs about one's self-worth and personal value.",A person with a score of 1 on the SelfEsteem facet is not present. They do not express any form of self-affirmation or validation in their speech.,"A person with a score of 2 on the SelfEsteem facet has a slight, faint trace of self-validation. Their language may include minimal expressions of confidence or modest praise for themselves.","A person with a score of 3 on the SelfEsteem facet displays moderate self-affirmation. They often use phrases like 'I'm doing okay' or 'I've got this,' and their speech contains more balanced statements about their abilities and achievements.","A person with a score of 4 on the SelfEsteem facet exhibits strong, prominent self-validation. Their language is filled with affirmations such as 'I am capable,' 'I did great,' and they frequently highlight their accomplishments or strengths.","A person with a score of 5 on the SelfEsteem facet has very strong, dominant self-affirmation. They use phrases like 'I'm amazing,' 'I can do anything,' and their speech is consistently filled with positive self-evaluations and overconfidence in their abilities."
F0028,Comparing alphanumeric data,cognitive,neutral,"A measurable trait/behavior observed in how a person speaks about comparing and analyzing alphanumeric data, such as numbers and letters.",absent / not present - The speaker does not mention or discuss the comparison of alphanumeric data at all.,"slight / faint trace - The speaker mentions comparing alphanumeric data in a very brief manner, without much detail or depth.",moderate / clearly present - The speaker discusses the process and results of comparing alphanumeric data with some level of detail and explanation.,"strong / prominent - The speaker extensively explains and analyzes various aspects of comparing alphanumeric data, providing examples and insights.","very strong / dominant - The speaker focuses almost entirely on the topic of comparing alphanumeric data, devoting most of their conversation to this subject with depth and enthusiasm."
F0029,Big-heartedness,emotion,positive,"Measurable trait/behavior that reflects a disposition towards empathy, compassion, and generosity in interpersonal interactions.",Shows no signs of empathy or concern for others' well-being.,Occasionally shows mild concern but not consistently present.,"Displays occasional acts of kindness, but these are inconsistent and infrequent.",Consistently demonstrates acts of kindness and empathy in interactions with others.,"Exhibits a strong inclination towards compassion and generosity, often leading to positive outcomes for those around them."
F0030,Compulsive activities,behavioral,negative,A measurable trait/behavior observed in how a person speaks about engaging in repetitive or excessive activities.,absent / not present - The individual does not mention any compulsive activities in the conversation.,"slight / faint trace - The individual mentions occasional engagement with a single type of activity, but it is not emphasized or discussed frequently.",moderate / clearly present - The individual discusses multiple types of activities and shows some concern about their frequency or impact on daily life.,"strong / prominent - The individual frequently mentions various compulsive activities, often with a sense of distress or struggle to control them.","very strong / dominant - The individual speaks extensively and in detail about multiple compulsive activities, showing significant distress and difficulty managing these behaviors."
F0031,Disrespect,behavioral,negative,"Measurable trait/behavior observed in how a person speaks in a conversation, indicating patterns of disregard or lack of respect towards conversational partners or topics.",absent / not present: There are no observable patterns of disrespect in the individual's speech or behavior.,"slight / faint trace: The person occasionally shows signs of disrespect, such as not fully listening to others during conversations and making brief dismissive comments.","moderate / clearly present: There are instances where the individual demonstrates a lack of respect, like interrupting others without acknowledging their speaking turn or showing indifference towards others’ feelings.","strong / prominent: The person shows occasional signs of disrespect, such as rudeness during conversations and a tendency to disregard others' viewpoints outright.",very strong / dominant: The individual consistently displays blatant disrespect through dismissive language and actions. They frequently interrupt others without apology and show no regard for the feelings or opinions of others.
F0032,FSH level,cognitive,neutral,"A measurable trait/behavior observed in a person's conversation turns related to their Follicle-Stimulating Hormone (FSH) levels, which influence reproductive health and can be indicative of hormonal balance or stress.",Absent: No mention of FSH levels or any related topics in the conversation.,Slight: The conversation touches on general health or hormones without specific reference to FSH levels.,Moderate: The speaker mentions FSH levels but does not elaborate or discuss their implications for health or behavior.,"Strong: The speaker discusses FSH levels in detail, including their impact on reproductive health and any relevant personal experiences or concerns.","Very strong: The conversation is dominated by discussions about FSH levels, with the speaker providing extensive information and analysis of their own FSH levels and how they affect various aspects of their life."
F0033,Self Perspective,cognitive,neutral,"The measurable trait/behavior that assesses how a person reflects on their own thoughts, feelings, and actions in conversation.","absent / not present - The individual does not show any self-reflection or introspection in the conversation. They do not mention their own thoughts, feelings, or behaviors.","slight / faint trace - The individual mentions their own thoughts or feelings in a very brief and non-specific manner. For example, they might say 'I was thinking about...' without elaboration.","moderate / clearly present - The individual frequently reflects on their own actions, emotions, or beliefs. They provide detailed explanations of their thought processes and emotional states.","strong / prominent - The individual consistently provides deep self-reflection throughout the conversation. They analyze their motivations, biases, and decision-making processes in great detail.","very strong / dominant - The individual's entire conversation is dominated by self-perspective. They spend most of the time discussing their own experiences, thoughts, and feelings without engaging with others or considering external perspectives."
F0034,Desperation,behavioral,negative,"Desperation is a behavioral trait characterized by an excessive and persistent sense of hopelessness or helplessness, often manifesting as a strong inclination towards extreme actions to alleviate distress.",A slight trace of desperation may be present in the form of occasional feelings of mild anxiety or frustration without resorting to extreme measures. The individual might engage in minor problem-solving strategies such as seeking advice from friends or family members.,"Moderate desperation is evident when the person frequently feels overwhelmed and experiences a strong inclination towards self-destructive behaviors, such as contemplating harmful actions like self-harm or substance abuse. They may also show signs of impulsive decision-making in response to stressors.","Strong desperation becomes prominent with the individual often engaging in extreme measures to alleviate distress, including but not limited to suicidal thoughts and attempts, self-harming behaviors, or other forms of self-destructive actions. The person might exhibit a high level of impulsivity and disregard for potential consequences.","Very strong desperation is characterized by an overwhelming sense of hopelessness leading the individual towards extreme and often dangerous actions such as planning and attempting suicide, engaging in severe self-harm or other forms of self-destructive behavior with little regard for safety. The person may also show a high level of impulsivity and disregard for potential consequences.","Dominant desperation is marked by the individual's extreme reliance on desperate measures to cope with distress, including frequent suicidal ideation, attempts at suicide, severe self-harm or other forms of self-destructive behavior. The person may also exhibit a high level of impulsivity and disregard for potential consequences."
F0035,Affiliation Motivation,behavioral,positive,"Measurable trait/behavior that reflects an individual's inclination and tendency towards forming connections, bonds, or affiliations with others.",Absent: No indication of affiliation motivation is observed in the conversation. The speaker does not express any desire to form connections or engage with others.,"Slight: There is a very faint trace of affiliation motivation, but it is barely noticeable and does not significantly impact the conversation. The speaker mentions social interactions in a minimal way.","Moderate: Affiliation motivation is clearly present, though it is not dominant. The speaker frequently expresses interest in forming connections with others and shows some effort to engage socially.",Strong: Strong affiliation motivation is prominent. The conversation revolves around the speaker's desire to form connections and they actively seek out social interactions and relationships.,"Very strong: Very strong affiliation motivation dominates the conversation. The speaker consistently emphasizes their need for connection, often prioritizing it over other topics and showing intense efforts to engage with others."
F0036,Anatomy knowledge,cognitive,neutral,A measurable trait/behavior that assesses a person's knowledge and understanding of human anatomy.,"Concrete anatomical facts are absent or not present in the conversation. The speaker shows no awareness or reference to basic anatomical structures, functions, or systems.",Slight anatomical knowledge is faintly traceable but does not significantly impact the conversation. The speaker mentions a few basic anatomical terms or concepts without significant depth or context.,"Moderate anatomical knowledge is clearly present and influences the conversation. The speaker demonstrates familiarity with several key anatomical areas, such as the circulatory system, respiratory tract, or skeletal structure, but may not provide detailed explanations or examples.","Strong anatomical knowledge is prominent in the conversation. The speaker frequently references complex anatomical systems, structures, and processes, often providing specific details and analogies to illustrate their understanding.","Very strong anatomical knowledge dominates the conversation. The speaker exhibits a comprehensive grasp of human anatomy, including intricate details and specialized areas such as neurology or endocrinology, frequently using technical terms and making connections between different systems."
F0037,Passive-Aggressive,behavioral,negative,"A measurable trait/behavior characterized by a pattern of indirect and subtle hostility in communication, often expressed through procrastination or non-compliance.",absent / not present - The individual shows no signs of passive-aggressive behavior. They communicate openly and directly without any hints of hidden hostility.,"slight / faint trace - The individual occasionally expresses frustration indirectly, such as through sarcastic remarks or delayed responses, but it is minimal and does not significantly impact interactions.","moderate / clearly present - The individual frequently uses indirect communication to express dissatisfaction, often procrastinating tasks until the last minute, which can lead to minor conflicts but not severe disruptions.","strong / prominent - The individual consistently employs passive-aggressive tactics in various settings, such as by deliberately avoiding responsibilities or making sarcastic comments that undermine others' efforts, causing significant interpersonal issues and stress.","very strong / dominant - The individual is highly adept at using passive-aggressive behaviors to manipulate situations, often undermining the success of others and creating a toxic environment, leading to severe social and professional consequences."
F0038,Presence of Spiritual Pain,spiritual,negative,"The degree to which an individual expresses physical, emotional, or psychological discomfort related to their beliefs, practices, or experiences within a spiritual framework.",Absent: The individual shows no signs of experiencing any form of spiritual pain. They maintain a neutral stance towards their spiritual beliefs and practices.,"Slight: There is a faint indication of discomfort, but it does not significantly impact the individual's overall well-being or engagement with their spiritual path. This might include minor doubts or occasional moments of distress without significant emotional investment.","Moderate: The individual displays noticeable signs of distress related to their spiritual beliefs or practices. They may experience recurring episodes of discomfort, but these do not significantly interfere with daily life or relationships.","Strong: Spiritual pain is a prominent feature in the individual's life. They frequently encounter significant emotional and psychological challenges associated with their spiritual journey, which can lead to substantial distress and impact their mental health and interpersonal interactions.","Very Strong: The individual experiences intense and pervasive spiritual pain that dominates their thoughts, emotions, and actions. This level of discomfort is severe enough to cause significant impairment in daily functioning and may necessitate professional intervention."
F0039,Role of Spirituality in Community Involvement,spiritual,positive,"A measurable trait/behavior observed in how a person speaks about their role and involvement within spiritual or community groups, rituals, or practices.",Absent: The individual does not express any thoughts or feelings related to the role of spirituality in community involvement.,"Slight: There is a very faint mention of spirituality in their community involvements, but it is not central to their discourse.",Moderate: They discuss the importance of spirituality in their community roles and express moderate enthusiasm for its integration into these activities.,"Strong: Their conversation highlights the significance of spirituality in all aspects of their community involvement, with strong advocacy and engagement.","Very Strong: The individual's discourse is dominated by a deep commitment to integrating spirituality fully into every aspect of their community involvements, often advocating for radical changes or innovations based on spiritual principles."
F0040,Structure,cognitive,positive,"The measurable trait/behavior that reflects an individual's tendency to organize and maintain a coherent structure in their speech, including adherence to rules of grammar, syntax, and logical flow.",absent / not present - The speaker shows no attempt at organizing their thoughts or maintaining a structured conversation. They speak in disjointed sentences without regard for grammatical correctness.,"slight / faint trace - The speaker occasionally attempts to structure their speech but often deviates from proper grammar and syntax, resulting in occasional awkward phrasing or incomplete sentences.","moderate / clearly present - The speaker consistently maintains a structured approach to their speech. They use appropriate grammar, syntax, and logical flow, ensuring that each turn of the conversation is coherent and well-organized.","strong / prominent - The speaker demonstrates an exceptional ability to structure their speech. Their sentences are meticulously crafted with perfect grammar and syntax, and they maintain a clear and logical progression throughout the conversation.","very strong / dominant - The speaker exhibits an almost superhuman capacity for structuring their speech. They not only adhere to grammatical correctness but also anticipate potential conversational gaps and fill them in with relevant information, creating a seamless and engaging dialogue."
